ID;Name;Beschreibung;Art;Ort_Name;Adresse;Latitude;Longitude;Preis_Ca;Preis_Info;Wetter_Praeferenz;Datum_Von;Datum_Bis;Personen_Min;Personen_Max;Indoor_Outdoor;Zielgruppe;Dauer_Info;Website;Kontakt_Telefon;Booking_Info;Image_URL
11;Kunstmuseum;Das Kunstmuseum St. Gallen zeigt bedeutende Werke aus verschiedenen Epochen mit Schwerpunkten auf zeitgenössischer und klassischer Kunst. Besucher erleben hier wechselnde Ausstellungen, thematische Führungen und kulturelle Veranstaltungen. Es ist ein zentraler Treffpunkt für Kunstinteressierte und kulturell Neugierige.;Kultur;St. Gallen;Museumstrasse 32;47.42851139;9.381555731;12;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;Indoor;Kulturinteressierte, Senioren, Touristen;2 Stunden;http://www.kunstmuseumsg.ch/;0712420671;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB_NibEg6iILiwPQPOajYlg8Lym4FaWyY_p2v8nugyxAZ5wCG-PFpJj7Mf7Q-xT14tt5P3ktceEFWkK3hahy-dXmXOudJq6hZaQJ4Z4ZQnYsCto2_zyq5CvbVtB98e896x8JnsU=w408-h306-k-no
12;ROOM Escape Room;Der ROOM Escape Room in St. Gallen bietet spannende Rätselräume, bei denen Teams gemeinsam Hinweise entschlüsseln und Aufgaben lösen müssen, um innerhalb einer Stunde zu entkommen. Die Räume sind thematisch gestaltet und fördern Kommunikation und logisches Denken. Eine ideale Aktivität für Freunde, Firmen oder Teambuilding-Events.;Entertainment;St. Gallen;Bohl 9;47.42662745;9.376897645;40;pro Person;Egal;;;2;20;Indoor;Familie, Kinder, Jugendliche;1 Stunde;https://roomescaperoom.ch/escape-room-st-gallen/;+41 71 521 01 16;Anmeldung erforderlich;https://roomescaperoom.ch/archeologist
13;Naturmuseum St. Gallen;Das Naturmuseum St. Gallen vermittelt spannende Einblicke in die Tier- und Pflanzenwelt der Schweiz. Interaktive Ausstellungen und naturgetreue Dioramen machen den Besuch auch für Kinder und Familien interessant. Neben Sonderausstellungen bietet das Museum ein breites Bildungsprogramm.;Kultur;St. Gallen;Rorschacher Strasse 263;47.43967136;9.408844755;12;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;Indoor;Kulturinteressierte, Senioren, Touristen;2 Stunden;http://www.naturmuseumsg.ch/;0712434040;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOxW50GyZwRcr9TbxyCrV6S5QQiIRREzq-EdPZt=w408-h267-k-no
14;Bauwipfelpfad Neckertal;Der Baumwipfelpfad Neckertal führt Besucher auf luftiger Höhe durch die Baumkronen des Neckertals. Auf dem rund 500 Meter langen Weg gibt es Infotafeln über Flora, Fauna und Nachhaltigkeit. Ein Highlight für Naturfreunde, Familien und Schulklassen.;Natur;Mogelsberg;Lettenstrasse 19;47.35889278;9.143736646;15;pro Person (Erwachsene), Reduktionen verfügbar;Nur Sonne;;;;;Outdoor;Alle;1 Stunde;http://www.baumwipfelpfad.ch/;0715523303;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipNBeLLLahHgx0tcbCLa8unwd6fXwgYiahi4BQ1N=w408-h306-k-no
15;Boulderlounge St. Gallen;Die Boulderlounge in St. Gallen ist eine moderne Indoor-Kletterhalle, die sich auf Bouldern – Klettern ohne Seil in Absprunghöhe – spezialisiert. Mit Routen für Einsteiger bis Profis und einem gemütlichen Bistro ist sie ein beliebter Treffpunkt für Sportbegeisterte. Auch Kinder und Jugendliche finden hier eigene Bereiche.;Sport;St. Gallen;Zürcherstrasse 160;47.41520472;9.339896692;20;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;Indoor;Alle;2 Stunden;http://www.boulderlounge.ch/stgallen;0715112347;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipON3yKHvnARKAqk9AObgtE3DO1giowIA6pOPEWa=w426-h240-k-no
16;Sparta Bouldering & Bar;Sparta Bouldering & Bar kombiniert sportliches Bouldern mit urbaner Atmosphäre und einer gemütlichen Bar. Neben abwechslungsreichen Boulderwänden gibt es Events und Musikabende. Ein Treffpunkt für aktive Menschen, die Sport und Geselligkeit schätzen.;Sport;Buchs;Fabrikstrasse 16;47.17232419;9.482718168;22;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;Indoor;Geniesser, Paare, Senioren;2 Stunden;http://www.sparta-bouldering.com/;0817562222;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipNws3bSzG7QXpXxGI8-Qul5Q7UNXGXABXiIsLuA=w457-h240-k-no
17;Seerenbachfälle;Die Seerenbachfälle zählen mit über 600 Metern Fallhöhe zu den höchsten Wasserfällen Europas. Die drei Wasserstufen stürzen spektakulär in die Tiefe und lassen sich über Wanderwege und Aussichtspunkte bestaunen. Ideal für Tagesausflüge und Naturliebhaber.;Natur;Amden;;47.13874447;9.164811807;;;Nur Sonne;;;;;Outdoor;Alle;;https://www.amden-weesen.ch/attraktion/seerenbachfaelle-rinquelle-die-wasserfaelle-am-walensee-7265d13daa;0582282830;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB_JXbkMJgy7G19LYdEjeRUkTnovI8SlBv-3AdIE_W_cuzrQBPEmS12iYUB9-1iAPUj1zs0JjUmR_7tX2-ZQ4RIHoucCTOHiaDj0XUpN275cvDdoEdCvd4HX6bheKhLuaH0T2xNH6g=w408-h306-k-no
18;Paxmal;Das Paxmal bei Walenstadt ist ein monumentales Friedensdenkmal mit beeindruckender Symbolik und Panorama-Blick auf die Churfirsten. Erbaut vom Künstler Karl Bickel, lädt der Ort zur stillen Reflexion und Auseinandersetzung mit dem Thema Frieden ein. Besonders Kulturinteressierte und spirituelle Besucher finden hier einen inspirierenden Platz.;Sightseeing;Walenstadt;Grundweg 9;47.14218202;9.270264682;;;Nur Sonne;;;;;Outdoor;Alle;;https://www.museumbickel.ch/index.php/paxmal;0817102777;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB9pt0HOrMmwLpl5vmnP4KuhH3K1YcBSq8fKpl8pdtj1abY1NSQJi1zJ-YTU1uoo_5mzmQ-BYpFYSxSEd07513nfe5vxzMjmt8sWo73FSwG5XDQXjgeG2r2pHTgZtxXVCvQWkGt8=w408-h306-k-no
19;Holzbrücke Rapperswil-Hurden;Die Holzbrücke zwischen Rapperswil und Hurden führt über den Zürichsee und gilt als älteste Brückenverbindung der Schweiz, heute rekonstruiert. Der Spaziergang über das Wasser bietet historische Infotafeln und tolle Ausblicke. Ein ruhiges Erlebnis für Spaziergänger, Familien und Geschichtsfreunde.;Sightseeing;Rapperswil-Jona;;47.22088591;8.812211569;;;Nur Sonne;;;;;Outdoor;Alle;;https://www.rapperswil-jona.ch/naherholungimfreien/6552;0552257000;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB9M_xVN91odtvmnUlgLqDXUPdR-NEWhOyabnKX-UkXYsy1o3PiFQEGuBkAflNuu1HO36nKaiFsxjx894zktZ-SVmT8_kivT1Ftlr04bGxmrjVtxrsrxHa_ZaZ6C1-Ke4jVrwZ1mww=w408-h272-k-no
20;Wiler Turm;Der Wiler Turm ist ein moderner Aussichtsturm im Toggenburg mit weitem Blick über das Thurgebiet bis hin zu den Alpen. Der Zugang über eine spiralförmige Treppe ist Teil des Erlebnisses. Der Turm ist ein beliebtes Ziel für Wanderer und Ausflügler.;Freizeit;Bronschhofen;Antennenweg;47.4786522;9.049277222;;;Nur Sonne;;;;;Outdoor;Alle;;;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB9Vhva7VCYP_yH0ZGJ398jn5pTraV95GLGpdqrHSaBdCafKrdpE4J73n2mEaDZZ7sa1rZM3i3td4yXuQ8NAQQptA5fSQzlEXiyA6_fM0C1pNEkpidRMePT-cUGrNCa8nlmywO2W=w408-h544-k-no
21;Schloss Werdenberg;Schloss Werdenberg thront über einem mittelalterlichen Städtchen und beherbergt heute ein Museum zur regionalen Geschichte. Die gut erhaltene Anlage bietet faszinierende Einblicke in das Leben vergangener Jahrhunderte. Ideal für Kulturliebhaber und Familienausflüge.;Kultur;Werdenberg;Schlossweg;47.16856242;9.461650317;14;pro Person (Erwachsene);Nur Sonne;;;;;Outdoor;Alle;;http://www.schloss-werdenberg.ch/;0817400540;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipPnQYSB1nNGP6pThQUM44sNbqqjPWgvmwtISjKC=w408-h306-k-no
22;IWC Schaffhausen Museum;Das IWC Museum in Schaffhausen gibt einen exklusiven Einblick in die Geschichte der Luxusuhrmacherei. Besucher erleben ikonische Modelle, technische Meisterwerke und die Philosophie der Marke. Eine edle Mischung aus Technik, Design und Zeitgeschichte.;Sightseeing;Schaffhausen;Baumgartenstrasse 15;47.69459354;8.636891843;6;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;1;15;Indoor;Kulturinteressierte, Senioren, Touristen;1 Stunde;https://www.iwc.com/en/company/museum.html;+41 52 235 75 65;Nicht nötig;https://www.iwc.com/content/dam/brand/museum/museum-2-4x3.jpg.transform.global_image_png_940_2x.jpg
23;Walensee;Der Walensee bietet türkisfarbenes Wasser umrahmt von steilen Felswänden und idyllischen Dörfern. Er lädt zu Bootsfahrten, Wanderungen und Badeausflügen ein. Ideal für Naturfreunde und alle, die Erholung am Wasser suchen.;Natur;Walenstadt;;47.12613752;9.302242101;;;Nur Sonne;;;;;Outdoor;Alle;;;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Pqzf4s_QgW3vs4yhegov1GyjfcPD6vZIlI_eY1E61eSsHKky_B8Nw2yvL5m2PeZAjyCzPNOiBMmCuYWEgLH4Dho44t6rvIAvu3SgO2MJB8Z7Jfrl7Rb4j1ZIV-xdIpxrOI1Zw=w408-h306-k-no
24;Klangweg Toggenburg;Der Klangweg im Toggenburg verbindet Wandern mit Klanginstallationen aus Holz, Metall und Stein. Familien und Schulklassen erleben spielerisch Musik und Natur. Die Route ist leicht begehbar und landschaftlich reizvoll.;Freizeit;Alt St. Johann;;47.18131034;9.3203026;39;pro Person (Erwachsene);Nur Sonne;15.05.2025;15.10.2025;;;Outdoor;Alle;3-4 Stunden;https://klangwelt.swiss/de/klangwelt-erleben/klangweg.html;+41 71 998 50 00;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipPv8tiMnrc_u5EHr9OZFS0pMT4TvKA9kCjLt6rr=w408-h242-k-no
25;Barfussweg Gonten;Der Barfussweg Gonten führt durch Wiesen, Wasserläufe und unterschiedliche Bodenbeläge. Er stimuliert die Sinne und bietet eine entspannende Erfahrung für Groß und Klein. Eine naturnahe Aktivität mit Gesundheitsaspekt.;Natur;Gontenbad;Paradiesstrasse 6;47.33122702;9.372386096;;;Nur Sonne;;;;;Outdoor;Alle;1.5 Stunden;http://www.kronberg.ch/de/angebote_sommer/barfussweg.html;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB95mGR3Yy289BqASEEdtZxqrrybXMcERcDz2Crf-u6kUvQAKT6IHDvr1zk5DTXTMqP147yk--CMPJ-tJL0TrSE6jGw6F1VjNecESjWxOQqNm--BeJ_ZblCJE9uT8BVFJofajM8_=w408-h306-k-no
26;Kronberg Zipline-Park;Der Zipline-Park am Kronberg ermöglicht rasante Seilrutschenfahrten mit spektakulärem Blick über die Appenzeller Hügel. Die Anlage ist sicher, gut betreut und für Abenteuerlustige ein echtes Highlight. Perfekt für Actionfans und Gruppenaktivitäten.;Sport;Jakobsbad;St. Josefstrasse 2;47.31947175;9.328968262;31;pro Person (Erwachsene);Nur Sonne;;;;;Outdoor;Alle;2 Stunden;https://www.kronberg.ch/zipline;0717941289;Online buchen;https://lh3.googleusercontent.com/p/AF1QipND8Q3CwXpDqyG3BKO29kyGMc9hoE1VsczzA7Yr=w408-h271-k-no
27;Autobau Erlebniswelt;Die Autobau Erlebniswelt in Romanshorn zeigt historische und moderne Traumautos in einem architektonisch beeindruckenden Gebäude. Besucher können teils interaktiv in die Welt des Motorsports eintauchen. Ein Muss für Technik- und Autobegeisterte.;Freizeit;Romanshorn;Egnacherweg 7;47.55803432;9.376409023;22.5;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;Indoor;Touristen, Naturfreunde, Freunde;2 Stunden;https://www.autobau.ch/;0714660066;Online buchen;https://lh3.googleusercontent.com/p/AF1QipP4ft_Eb3soVgUf1hcnXLYOFv--wr2FbL2PjYyN=w426-h240-k-no
28;Rheinfall;Der Rheinfall ist der größte Wasserfall Europas und beeindruckt mit donnerndem Wassermassen. Plattformen, Bootsfahrten und ein Schlossbesuch bieten vielseitige Perspektiven. Ein spektakuläres Naturwunder für alle Altersgruppen.;Sightseeing;Neuhausen am Rheinfall;Rheinfallquai 5;47.67918218;8.611755134;;;Nur Sonne;;;;;Outdoor;Touristen, Naturfreunde, Freunde;;https://www.bodensee.de/ausflugsziele/rheinfall;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB-M7xo-28cqyZuxVja-vj28Vnmwzu5qRL7biXWVQCUMjDKFHz-mXrlQyNupkcRk-4t2A7X-_Qc3pTcLAB1nFxXLtZjftyxljQC0sUWC51XtBA1Jws-5gyCQzHCU-UEF-9HmNbPq-Q=w408-h306-k-no
29;Adventure Park Rheinfall;Direkt beim Rheinfall gelegen bietet der Adventure Park verschiedene Kletterparcours in den Baumwipfeln. Mit Seilrutschen und Hängebrücken ist Adrenalin garantiert. Besonders für sportliche Familien und Gruppen geeignet.;Sport;Neuhausen am Rheinfall;Nohlstrasse;47.67840757;8.609425984;41;pro Person (Erwachsene);Nur Sonne;;;;;Outdoor;Touristen, Naturfreunde, Freunde;3 Stunden;https://www.ap-rheinfall.ch/;0526701960;Online reservieren;https://lh3.googleusercontent.com/p/AF1QipPMyN5-mQWIS_GcZxwnw6UnpdxVPjEEDPnCMElX=w408-h306-k-no
30;Badewelt Säntispark;Die Badewelt Säntispark in Abtwil ist ein familienfreundiges Erlebnisbad mit Rutschen, Wellenbad und Wellnessbereich. Kinder und Erwachsene finden hier gleichermaßen Spaß und Erholung. Ideal bei jedem Wetter.;Familie;Abtwil;Wiesenbachstrasse 9;47.41939357;9.315612031;34;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;;Geniesser, Paare, Senioren;2 Stunden;https://saentispark-freizeit.ch/baeder/;0587125500;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipPkwHA0sHGVS8gxF7raCClGH9SXMyB9M4rKGm5K=w408-h408-k-no
31;Seilpark Gründenmoos;Der Seilpark Gründenmoos bei St. Gallen bietet abwechslungsreiche Kletterelemente in luftiger Höhe. Die Parcours variieren in Schwierigkeit und sind auch für Kinder geeignet. Sportliche Herausforderung trifft auf Spaß im Grünen.;Sport;Abtwil;Gründenstrasse;47.41464601;9.306394919;35;pro Person (Erwachsene);Nur Sonne;;;;;Outdoor;Touristen, Naturfreunde, Freunde;3 Stunden;https://seilpark-sg.ch/;0587125504;Online reservieren;https://lh3.googleusercontent.com/p/AF1QipNltWvO2awgzBGigXIM4eszzZc2bWpuwbRe9DtM=w408-h272-k-no
32;Kronberg Bobbahn;Die Sommerrodelbahn am Kronberg schlängelt sich rasant ins Tal und bietet Kurvenspaß für Jung und Alt. Die Bahn ist sicher konstruiert und mit Bremsen steuerbar. Ein beliebter Ausflugsspaß in der Ostschweiz.;Action;Jakobsbad;St. Josefstrasse 2;47.31997006;9.328417469;9;pro Person pro Fahrt (Erwachsene);Nur Sonne;;;;;Outdoor;Touristen, Naturfreunde, Freunde;;http://www.kronberg.ch/bobbahn;0717941289;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB8ckVxrZfRiLOvGE2UbLTmikH5N-qG4H0FynwZT_cmLvlnZsizngcl2g2nGnEzqmw08FTKIIiJlVVDgQTUgTcY5W-5eGJ0mGCkWeR7zJBvGbZRWmgSIHs1dRXJv609DoJBOwHGW=w408-h521-k-no
33;Tamina-Therme;Die Tamina-Therme in Bad Ragaz kombiniert moderne Architektur mit heilendem Thermalwasser. Innen- und Außenbecken sowie ein vielfältiger Saunabereich laden zur Erholung ein. Ein Ort für Entspannung und Gesundheitsförderung.;Wellness;Bad Ragaz;Hans Albrecht-Strasse;46.99987497;9.504414877;85;pro Person;Egal;;;;;Indoor;Geniesser, Paare, Senioren;1 Tag;https://www.taminatherme.ch/wellness-erlebnis;0813032740;Online buchen;https://lh3.googleusercontent.com/p/AF1QipMCMosAC0eeZ8sRDwniLwrWpuymFgs9-AGoTI8v=w408-h272-k-no
34;Biberlehrpfad;Der Biberlehrpfad informiert auf einem Naturlehrpfad über das Leben des Bibers. Besucher entdecken Lebensräume, Spuren und Biberbauten entlang des Weges. Besonders geeignet für Familien und Schulklassen.;Natur;Oberbüren;Thurweg;47.45986065;9.158781821;;;Nur Sonne;;;;;Outdoor;Touristen, Naturfreunde, Freunde;3 Stunden;http://www.wwfost.ch/themen-projekte/artenvielfalt/biber/sg-biberlehrpfad/;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB_-w7__FzdinRvt1qs6DVFyjYLPrBfFPyawTJ74jRPTu-X9ujcpokRbfW1Y6y2SNturMVxpnNw5aP0pxCOtvtW73zZP5_RoEFao85K-Ew5Yd_7QEZzqT69QWN0Lo375nbpE9uizhw=w408-h839-k-no
